Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Deamidation (NQ) site positions	Oxidation (M) site positions
sp|Q14789|GOGB1_HUMAN	sp|Q14789|GOGB1_HUMAN	2	2	2	sp|Q14789|GOGB1_HUMAN Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2	1	2	2	2	0.5	0.5	0.5	376.01	3259	3259	0.019947	1.3159	155600	98130	12114	7264.3	3509.4	2934.9	3080	3762.9	4220.3	2306	0	155600	98130	12114	7264.3	3509.4	2934.9	3080	3762.9	4220.3	2306	0	2	2	2	2	2	2	2	2	2	2	0	6056100	2				2499	2754;3993	True;True	2795;4053	7066;10057	7103;10111	7103;10111				
sp|Q14839|CHD4_HUMAN	sp|Q14839|CHD4_HUMAN	1	1	1	sp|Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2	1	1	1	1	0.8	0.8	0.8	218	1912	1912	0.15996	0.77493	18180	17685	1312	1511	526.07	538.6	341.87	0	0	824.16	318.94	18180	17685	1312	1511	526.07	538.6	341.87	0	0	824.16	318.94	2	2	2	2	1	1	1	0	0	1	1	4744700	2				2500	5077	True	5156	12445;12446	12505;12506	12506				
sp|Q14847|LASP1_HUMAN	sp|Q14847|LASP1_HUMAN	1	1	1	sp|Q14847|LASP1_HUMAN LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2	1	1	1	1	5	5	5	29.717	261	261	0.0018315	3.3451	8877.7	19153	0	1076.1	0	0	0	332.96	304.93	380.95	0	8877.7	19153	0	1076.1	0	0	0	332.96	304.93	380.95	0	1	1	0	1	0	0	0	1	1	1	0	2446400	1				2501	2355	True	2391	6084	6119	6119				
sp|Q14849|STAR3_HUMAN	sp|Q14849|STAR3_HUMAN	1	1	1	sp|Q14849|STAR3_HUMAN StAR-related lipid transfer protein 3 OS=Homo sapiens OX=9606 GN=STARD3 PE=1 SV=2	1	1	1	1	1.6	1.6	1.6	50.501	445	445	0.35004	0.54138	56124	23770	3560.8	2717.4	1331.8	791.91	1169.1	696.25	1529.6	301.52	0	56124	23770	3560.8	2717.4	1331.8	791.91	1169.1	696.25	1529.6	301.52	0	2	2	2	2	2	2	2	2	2	1	0	3670100	2				2502	3235	True	3284	8243;8244	8286;8287	8286				
sp|Q14896|MYPC3_HUMAN	sp|Q14896|MYPC3_HUMAN	2	2	2	sp|Q14896|MYPC3_HUMAN Myosin-binding protein C, cardiac-type OS=Homo sapiens OX=9606 GN=MYBPC3 PE=1 SV=4	1	2	2	2	1.2	1.2	1.2	140.76	1274	1274	0.18579	0.74477	23114	13912	1699.6	1146.5	447.18	426.09	511.52	278.8	479.44	325.51	0	23114	13912	1699.6	1146.5	447.18	426.09	511.52	278.8	479.44	325.51	0	2	1	1	1	1	1	1	1	1	1	0	4796900	2				2503	3122;4306	True;True	3170;4370	7975;10824	8018;10880	8018;10880				
sp|Q14956|GPNMB_HUMAN	sp|Q14956|GPNMB_HUMAN	1	1	1	sp|Q14956|GPNMB_HUMAN Transmembrane glycoprotein NMB OS=Homo sapiens OX=9606 GN=GPNMB PE=1 SV=2	1	1	1	1	1.6	1.6	1.6	63.922	572	572	0.0073314	1.6853	13378	72583	1445.3	4343.2	0	866.66	0	1237.3	0	1776.9	0	13378	72583	1445.3	4343.2	0	866.66	0	1237.3	0	1776.9	0	2	2	2	2	0	1	0	2	0	2	0	5162600	2				2504	873	True	877	2263;2264	2274;2275	2275				
sp|Q14966|ZN638_HUMAN	sp|Q14966|ZN638_HUMAN	2	2	2	sp|Q14966|ZN638_HUMAN Zinc finger protein 638 OS=Homo sapiens OX=9606 GN=ZNF638 PE=1 SV=2	1	2	2	2	0.4	0.4	0.4	220.62	1978	1978	0.024707	1.245	77250	12107	8467.8	1018.5	2034.7	239.68	1806.8	230.87	1477.6	0	0	77250	12107	8467.8	1018.5	2034.7	239.68	1806.8	230.87	1477.6	0	0	2	2	2	2	2	1	2	1	2	0	0	2893500	3				2505	865;3328	True;True	869;3382	2243;2244;8492	2254;2255;8536	2254;8536				
sp|Q14974|IMB1_HUMAN	sp|Q14974|IMB1_HUMAN	7	7	7	sp|Q14974|IMB1_HUMAN Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2	1	7	7	7	8	8	8	97.169	876	876	0	13.583	297970	190620	20176	11807	7098.3	6306.4	7189	7258.2	7205.2	7312.8	0	297970	190620	20176	11807	7098.3	6306.4	7189	7258.2	7205.2	7312.8	0	14	14	14	11	11	11	11	13	11	12	0	37058000	14				2506	1217;1266;2266;3359;5709;5893;6138	True;True;True;True;True;True;True	1226;1278;2301;3413;5792;5977;6227	3144;3292;3293;3294;5846;8564;8565;13903;14365;14366;14367;15004;15005;15006	3157;3306;3307;3308;5881;8608;8609;13973;14435;14436;14437;15080;15081;15082	3157;3308;5881;8609;13973;14437;15082				
sp|Q14978|NOLC1_HUMAN	sp|Q14978|NOLC1_HUMAN	15	15	15	sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2	1	15	15	15	18.7	18.7	18.7	73.602	699	699	0	25.604	1215000	1439100	90130	101290	28692	43652	24170	44285	29035	42519	0	1215000	1439100	90130	101290	28692	43652	24170	44285	29035	42519	0	43	43	43	43	39	40	33	39	34	37	0	126480000	43				2507	69;122;766;1198;1378;2154;2711;2798;3270;3480;4329;4872;5901;5908;6292	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	70;121;768;1207;1394;2188;2751;2839;3322;3533;4395;4948;5985;5992;6382	192;193;194;327;328;1969;1970;1971;3095;3096;3097;3600;3601;3602;3603;5583;5584;5585;5586;6953;7178;7179;7180;7181;8343;8344;8345;8842;8843;8844;10878;10879;10880;12042;12043;14391;14392;14393;14407;14408;15402;15403;15404	192;193;194;327;328;1980;1981;1982;3108;3109;3110;3614;3615;3616;3617;5617;5618;5619;5620;6990;7215;7216;7217;7218;8387;8388;8389;8888;8889;8890;10934;10935;10936;12100;12101;14461;14462;14463;14477;14478;15479;15480;15481	194;328;1982;3110;3617;5619;6990;7217;8388;8890;10936;12101;14463;14478;15481				
sp|Q14980|NUMA1_HUMAN	sp|Q14980|NUMA1_HUMAN	2	2	2	sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	1	2	2	2	0.9	0.9	0.9	238.26	2115	2115	0.041045	1.063	103570	35294	7386.3	2821.5	684.71	0	1514.9	622.36	1753.9	328.69	0	103570	35294	7386.3	2821.5	684.71	0	1514.9	622.36	1753.9	328.69	0	3	3	3	2	1	0	2	1	2	1	0	16696000	3				2508	2914;5629	True;True	2956;5712	7464;7465;13720	7502;7503;13790	7503;13790				
sp|Q14993|COJA1_HUMAN	sp|Q14993|COJA1_HUMAN	1	1	1	sp|Q14993|COJA1_HUMAN Collagen alpha-1(XIX) chain OS=Homo sapiens OX=9606 GN=COL19A1 PE=1 SV=3	1	1	1	1	0.8	0.8	0.8	115.22	1142	1142	0.32653	0.5937	122060	109410	8000.8	7172.4	1715.3	2114.5	655.05	849.51	1481.4	1287.8	0	122060	109410	8000.8	7172.4	1715.3	2114.5	655.05	849.51	1481.4	1287.8	0	2	2	2	2	2	2	1	1	2	1	0	11426000	2				2509	4600	True	4677	11503;11504	11561;11562	11561				
sp|Q14997|PSME4_HUMAN	sp|Q14997|PSME4_HUMAN	1	1	1	sp|Q14997|PSME4_HUMAN Proteasome activator complex subunit 4 OS=Homo sapiens OX=9606 GN=PSME4 PE=1 SV=2	1	1	1	1	0.4	0.4	0.4	211.33	1843	1843	0.56645	0.16664	5025.1	4301.9	457.53	235.92	275.18	481.29	279.26	0	404.47	483.6	297.72	5025.1	4301.9	457.53	235.92	275.18	481.29	279.26	0	404.47	483.6	297.72	1	1	1	1	1	1	1	0	1	1	1	61052000	1				2510	6255	True	6345	15298	15375	15375				
sp|Q14C86|GAPD1_HUMAN	sp|Q14C86|GAPD1_HUMAN	1	1	1	sp|Q14C86|GAPD1_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2	1	1	1	1	0.5	0.5	0.5	164.98	1478	1478	0.56667	0.16664	86201	74972	6857.7	5002.4	1832.8	1735.6	1698.9	1641.4	1624.3	1473.3	0	86201	74972	6857.7	5002.4	1832.8	1735.6	1698.9	1641.4	1624.3	1473.3	0	3	3	3	3	3	3	2	2	3	3	0	5100200	3				2511	6434	True	6526	15725;15726;15727	15803;15804;15805	15803				
sp|Q14CM0|FRPD4_HUMAN	sp|Q14CM0|FRPD4_HUMAN	1	1	1	sp|Q14CM0|FRPD4_HUMAN FERM and PDZ domain-containing protein 4 OS=Homo sapiens OX=9606 GN=FRMPD4 PE=1 SV=1	1	1	1	1	0.6	0.6	0.6	144.38	1322	1322	0.50896	0.19869	58495	38735	4384.8	2861.5	1184.5	1638.9	1500	1516.9	1707	1788.2	0	58495	38735	4384.8	2861.5	1184.5	1638.9	1500	1516.9	1707	1788.2	0	2	2	2	2	2	2	2	2	2	2	0	3085400	2				2512	5442	True	5526	13284;13285	13354;13355	13354				
sp|Q15005|SPCS2_HUMAN	sp|Q15005|SPCS2_HUMAN	1	1	1	sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3	1	1	1	1	3.1	3.1	3.1	25.003	226	226	0.33548	0.57769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				2513	2995	True	3040	7640	7679	7679				
sp|Q15008|PSMD6_HUMAN	sp|Q15008|PSMD6_HUMAN	2	2	2	sp|Q15008|PSMD6_HUMAN 26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1	1	2	2	2	4.6	4.6	4.6	45.531	389	389	0.0017452	2.8437	645800	471060	50088	39975	17098	22593	18868	21924	21299	22431	0	645800	471060	50088	39975	17098	22593	18868	21924	21299	22431	0	7	7	7	7	6	6	7	5	7	7	0	26774000	7				2514	4999;5851	True;True	5076;5934	12295;12296;14240;14241;14242;14243;14244	12355;12356;14310;14311;14312;14313;14314	12356;14310				
sp|Q15019|SEPT2_HUMAN	sp|Q15019|SEPT2_HUMAN	1	1	1	sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1	1	1	1	1	3	3	3	41.487	361	361	0.02	1.32	16287	11307	1536.4	521.18	0	257.53	379.29	0	356.06	0	0	16287	11307	1536.4	521.18	0	257.53	379.29	0	356.06	0	0	1	1	1	1	0	1	1	0	1	0	0	3352600	1				2515	3127	True	3175	7987	8030	8030				
sp|Q15027|ACAP1_HUMAN	sp|Q15027|ACAP1_HUMAN	1	1	1	sp|Q15027|ACAP1_HUMAN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ACAP1 PE=1 SV=1	1	1	1	1	0.9	0.9	0.9	81.535	740	740	0.45833	0.24029	21324	20078	1379.7	1926	468.21	202.48	0	624.13	0	419.8	0	21324	20078	1379.7	1926	468.21	202.48	0	624.13	0	419.8	0	1	1	1	1	1	1	0	1	0	1	0	2638600	1				2516	2425	True	2465	6262	6299	6299				
sp|Q15031|SYLM_HUMAN	sp|Q15031|SYLM_HUMAN	1	1	1	sp|Q15031|SYLM_HUMAN Probable leucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=LARS2 PE=1 SV=2	1	1	1	1	0.9	0.9	0.9	101.97	903	903	0.2002	0.72514	11674	16347	1235.1	573.71	350.72	349.28	0	0	305.58	0	0	11674	16347	1235.1	573.71	350.72	349.28	0	0	305.58	0	0	1	1	1	1	1	1	0	0	1	0	0	1317100	1				2517	3847	True	3906	9705	9754	9754				
sp|Q15046|SYK_HUMAN	sp|Q15046|SYK_HUMAN	4	4	4	sp|Q15046|SYK_HUMAN Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3	1	4	4	4	5.7	5.7	5.7	68.047	597	597	0	6.4523	84892	86954	7144.1	7106.2	1807.2	2068.2	2198.3	1736.9	2204.5	2898.5	0	84892	86954	7144.1	7106.2	1807.2	2068.2	2198.3	1736.9	2204.5	2898.5	0	6	6	6	6	4	4	4	4	5	5	0	10874000	6				2518	118;2978;3186;5390	True;True;True;True	117;3023;3234;5475	316;317;7603;8124;8125;13166	316;317;7642;8167;8168;13236	316;7642;8168;13236				
sp|Q15056|IF4H_HUMAN	sp|Q15056|IF4H_HUMAN	6	6	6	sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5	1	6	6	6	17.3	17.3	17.3	27.385	248	248	0	10.988	265840	221690	19758	18068	6779.7	5472.2	3910.5	5736.8	4972	6472.3	0	265840	221690	19758	18068	6779.7	5472.2	3910.5	5736.8	4972	6472.3	0	15	15	15	15	14	9	7	11	11	10	0	50756000	16				2519	871;1409;1813;2706;2707;5967	True;True;True;True;True;True	875;1425;1840;2746;2747;6051	2255;2256;2257;2258;3689;4727;6941;6942;6943;6944;6945;6946;14553;14554;14555;14556	2266;2267;2268;2269;3704;4756;6978;6979;6980;6981;6982;6983;14628;14629;14630;14631	2268;3704;4756;6980;6983;14630				
sp|Q15058|KIF14_HUMAN	sp|Q15058|KIF14_HUMAN	1	1	1	sp|Q15058|KIF14_HUMAN Kinesin-like protein KIF14 OS=Homo sapiens OX=9606 GN=KIF14 PE=1 SV=1	1	1	1	1	1	1	1	186.49	1648	1648	0.42418	0.32005	1384	1423.8	0	0	0	0	0	0	0	0	0	1384	1423.8	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1575200	1				2520	5559	True	5642	13555	13625	13625				
sp|Q15075|EEA1_HUMAN	sp|Q15075|EEA1_HUMAN	2	2	2	sp|Q15075|EEA1_HUMAN Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2	1	2	2	2	1.8	1.8	1.8	162.46	1411	1411	0.015027	1.4188	67630	27878	7022.5	1972.1	1499.9	888.86	1947.3	308.6	1225.5	302.85	0	67630	27878	7022.5	1972.1	1499.9	888.86	1947.3	308.6	1225.5	302.85	0	2	2	2	2	2	2	2	1	2	1	0	5809000	2				2521	1006;6506	True;True	1011;6599	2580;15875	2592;15953	2592;15953				
sp|Q15084|PDIA6_HUMAN	sp|Q15084|PDIA6_HUMAN	5	5	5	sp|Q15084|PDIA6_HUMAN Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1	1	5	5	5	13	13	13	48.121	440	440	0	29.669	391980	697390	21076	41192	9027.5	17463	7270.2	20751	8510.7	17516	0	391980	697390	21076	41192	9027.5	17463	7270.2	20751	8510.7	17516	0	17	17	14	17	14	14	9	16	11	17	0	87558000	19				2522	2322;2689;2724;5204;6047	True;True;True;True;True	2357;2729;2765;5285;6133	5991;5992;5993;5994;6900;6901;6902;6903;6987;6988;6989;12747;12748;12749;12750;14763;14764;14765;14766	6026;6027;6028;6029;6937;6938;6939;6940;7024;7025;7026;12809;12810;12811;12812;14838;14839;14840;14841	6029;6940;7026;12811;14841				
sp|Q15102|PA1B3_HUMAN	sp|Q15102|PA1B3_HUMAN	1	1	1	sp|Q15102|PA1B3_HUMAN Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens OX=9606 GN=PAFAH1B3 PE=1 SV=1	1	1	1	1	3.9	3.9	3.9	25.734	231	231	0.031847	1.1544	39447	36102	2944.3	1575.7	1380.8	349.33	229.43	1115.1	642.47	341.75	0	39447	36102	2944.3	1575.7	1380.8	349.33	229.43	1115.1	642.47	341.75	0	3	3	3	2	3	1	1	3	2	1	0	5439500	3				2523	413	True	416	1044;1045;1046	1049;1050;1051	1049				
sp|Q15111|PLCL1_HUMAN	sp|Q15111|PLCL1_HUMAN	1	1	1	sp|Q15111|PLCL1_HUMAN Inactive phospholipase C-like protein 1 OS=Homo sapiens OX=9606 GN=PLCL1 PE=1 SV=3	1	1	1	1	0.6	0.6	0.6	122.73	1095	1095	0.42453	0.30583	37842	156790	1882.4	9086	0	794.4	331.91	901.77	332.3	954.23	0	37842	156790	1882.4	9086	0	794.4	331.91	901.77	332.3	954.23	0	3	3	2	3	0	2	1	3	1	2	0	21099000	3				2524	4840	True	4916	11977;11978;11979	12035;12036;12037	12037				
sp|Q15149|PLEC_HUMAN	sp|Q15149|PLEC_HUMAN	1	1	1	sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	1	1	1	1	0.1	0.1	0.1	531.78	4684	4684	0.57057	0.055229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				2525	2284	True	2319	5895	5930	5930				
sp|Q15181|IPYR_HUMAN	sp|Q15181|IPYR_HUMAN	5	5	5	sp|Q15181|IPYR_HUMAN Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2	1	5	5	5	14.5	14.5	14.5	32.66	289	289	0	10.157	1099400	779570	75123	59690	21887	19795	23803	21414	23407	20233	477.05	1099400	779570	75123	59690	21887	19795	23803	21414	23407	20233	477.05	15	15	15	14	13	12	13	13	13	13	1	86260000	15				2526	81;1110;1212;2309;6673	True;True;True;True;True	82;1116;1221;2344;6766	219;220;221;2870;2871;2872;2873;3128;3129;3130;5960;5961;16270;16271;16272	219;220;221;2882;2883;2884;2885;3141;3142;3143;5995;5996;16348;16349;16350	221;2885;3143;5996;16350				
sp|Q15185|TEBP_HUMAN	sp|Q15185|TEBP_HUMAN	3	3	3	sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1	1	3	3	3	15.6	15.6	15.6	18.697	160	160	0	6.1478	1256000	719310	75183	43960	27611	19506	28788	19471	29247	19254	0	1256000	719310	75183	43960	27611	19506	28788	19471	29247	19254	0	14	14	14	14	14	14	14	13	12	11	0	86944000	14				2527	1306;3382;4317	True;True;True	1318;3436;4382;4383	3396;3397;3398;3399;8618;8619;8620;8621;10852;10853;10854;10855;10856;10857	3410;3411;3412;3413;8662;8663;8664;8665;10908;10909;10910;10911;10912;10913	3412;8664;10911				
sp|Q15233|NONO_HUMAN	sp|Q15233|NONO_HUMAN	11	10	10	sp|Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4	1	11	10	10	19.1	17.4	17.4	54.231	471	471	0	25.383	1938000	1382700	140470	94079	44869	38143	39315	36938	43894	34097	0	1938000	1382700	140470	94079	44869	38143	39315	36938	43894	34097	0	29	29	29	29	28	27	26	26	25	28	0	167340000	30				2528	83;296;487;841;1646;2493;2747;4229;4882;5012;5997	True;True;True;False;True;True;True;True;True;True;True	84;297;489;845;1667;2533;2788;4293;4958;5089;6082	224;225;226;227;767;768;769;770;1243;1244;2171;2172;2173;2174;4303;4304;4305;6428;6429;6430;6431;7040;7041;7042;7043;10638;10639;10640;12061;12062;12313;14631;14632;14633	224;225;226;227;769;770;771;772;1249;1250;2182;2183;2184;2185;4332;4333;4334;6465;6466;6467;6468;7077;7078;7079;7080;10694;10695;10696;12119;12120;12373;14706;14707;14708	227;772;1250;2185;4334;6466;7080;10696;12120;12373;14707				
sp|Q15365|PCBP1_HUMAN;sp|P57721|PCBP3_HUMAN;sp|P57723|PCBP4_HUMAN	sp|Q15365|PCBP1_HUMAN	6;2;1	3;0;0	3;0;0	sp|Q15365|PCBP1_HUMAN Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2	3	6	3	3	16	9.3	9.3	37.497	356	356;371;403	0	7.732	101270	93443	6899.5	5407	2441.2	3929.8	2690.8	4307.9	2865.5	3838.3	0	101270	93443	6899.5	5407	2441.2	3929.8	2690.8	4307.9	2865.5	3838.3	0	7	7	7	6	4	6	6	5	4	6	0	20993000	7				2529	241;1946;2975;3112;4769;4858	False;False;True;True;True;False	242;1975;3020;3160;4845;4934	637;638;639;640;5047;5048;5049;5050;7595;7596;7597;7598;7957;11830;11831;12011;12012;12013	637;638;639;640;5077;5078;5079;5080;7634;7635;7636;7637;8000;11888;11889;12069;12070;12071	638;5078;7636;8000;11889;12069				
sp|Q15366|PCBP2_HUMAN	sp|Q15366|PCBP2_HUMAN	7	7	4	sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1	1	7	7	4	18.6	18.6	12.1	38.58	365	365	0	30.304	1403300	998340	89540	62934	31700	29470	30148	31076	32810	29098	0	1403300	998340	89540	62934	31700	29470	30148	31076	32810	29098	0	22	22	21	20	17	16	16	18	16	19	0	111650000	23				2530	241;1946;2818;2976;3111;4076;4858	True;True;True;True;True;True;True	242;1975;2860;3021;3159;4137;4934	637;638;639;640;5047;5048;5049;5050;7230;7231;7232;7233;7599;7600;7601;7954;7955;7956;10252;10253;12011;12012;12013	637;638;639;640;5077;5078;5079;5080;7267;7268;7269;7270;7638;7639;7640;7997;7998;7999;10306;10307;12069;12070;12071	638;5078;7269;7640;7999;10307;12069				
sp|Q15370|ELOB_HUMAN	sp|Q15370|ELOB_HUMAN	2	2	2	sp|Q15370|ELOB_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1	1	2	2	2	14.4	14.4	14.4	13.133	118	118	0.0060606	1.8245	38630	22102	3146.6	1852.5	889.3	873.77	1135.4	853.62	1210.2	1341.3	0	38630	22102	3146.6	1852.5	889.3	873.77	1135.4	853.62	1210.2	1341.3	0	2	2	2	2	1	1	1	1	1	2	0	5161800	2				2531	1893;5831	True;True	1921;5914	4912;14199	4942;14269	4942;14269				
sp|Q15388|TOM20_HUMAN	sp|Q15388|TOM20_HUMAN	1	1	1	sp|Q15388|TOM20_HUMAN Mitochondrial import receptor subunit TOM20 homolog OS=Homo sapiens OX=9606 GN=TOMM20 PE=1 SV=1	1	1	1	1	9	9	9	16.298	145	145	0.087444	0.85189	21595	21061	2047.3	2001.6	0	390.57	0	380.46	0	0	0	21595	21061	2047.3	2001.6	0	390.57	0	380.46	0	0	0	1	1	1	1	0	1	0	1	0	0	0	2273700	1				2532	3284	True	3338	8385	8429	8429				
sp|Q15393|SF3B3_HUMAN	sp|Q15393|SF3B3_HUMAN	2	2	2	sp|Q15393|SF3B3_HUMAN Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4	1	2	2	2	1.5	1.5	1.5	135.58	1217	1217	0.20434	0.71891	22627	15285	1272.8	812.23	447.46	0	731.56	644.2	0	378.18	0	22627	15285	1272.8	812.23	447.46	0	731.56	644.2	0	378.18	0	2	2	2	1	1	0	2	1	0	1	0	2873000	2				2533	333;5772	True;True	335;5856	853;14091;14092	858;14161;14162	858;14162				
sp|Q15398|DLGP5_HUMAN	sp|Q15398|DLGP5_HUMAN	2	2	2	sp|Q15398|DLGP5_HUMAN Disks large-associated protein 5 OS=Homo sapiens OX=9606 GN=DLGAP5 PE=1 SV=2	1	2	2	2	2.5	2.5	2.5	95.114	846	846	0.29304	0.64272	59881	41404	4408.5	3189.9	2176.8	2210.6	1819.1	1568.1	2371.7	1250	0	59881	41404	4408.5	3189.9	2176.8	2210.6	1819.1	1568.1	2371.7	1250	0	2	2	2	2	2	1	1	1	1	1	0	5129600	2				2534	403;4695	True;True	406;4771	1017;11685	1022;11743	1022;11743				
sp|Q15424|SAFB1_HUMAN;sp|Q14151|SAFB2_HUMAN	sp|Q15424|SAFB1_HUMAN	4;1	4;1	4;1	sp|Q15424|SAFB1_HUMAN Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4	2	4	4	4	3.6	3.6	3.6	102.64	915	915;953	0	5.7701	257150	173460	16928	13510	6812	5037.5	5108.1	5052.9	6285.4	3838.6	0	257150	173460	16928	13510	6812	5037.5	5108.1	5052.9	6285.4	3838.6	0	8	8	7	7	7	7	6	6	6	5	0	21127000	8				2535	173;2805;3376;6576	True;True;True;True	174;2846;3430;6668	463;464;7200;7201;7202;8602;8603;16023	463;464;7237;7238;7239;8646;8647;16101	463;7238;8647;16101				
sp|Q15428|SF3A2_HUMAN	sp|Q15428|SF3A2_HUMAN	1	1	1	sp|Q15428|SF3A2_HUMAN Splicing factor 3A subunit 2 OS=Homo sapiens OX=9606 GN=SF3A2 PE=1 SV=2	1	1	1	1	2.2	2.2	2.2	49.255	464	464	0.0073638	1.7056	40428	32684	2597.8	1842.7	813.74	392.53	565.42	870.22	691.43	822.39	0	40428	32684	2597.8	1842.7	813.74	392.53	565.42	870.22	691.43	822.39	0	3	3	2	2	2	1	1	2	2	2	0	7051900	3				2536	1419	True	1435	3716;3717;3718	3731;3732;3733	3733				
sp|Q15459|SF3A1_HUMAN	sp|Q15459|SF3A1_HUMAN	1	1	1	sp|Q15459|SF3A1_HUMAN Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1	1	1	1	1	1.1	1.1	1.1	88.885	793	793	0.0085227	1.5379	14320	14365	623.13	989.42	335.36	0	0	0	422.21	0	0	14320	14365	623.13	989.42	335.36	0	0	0	422.21	0	0	1	1	1	1	1	0	0	0	1	0	0	1768200	1				2537	2571	True	2611	6618	6655	6655				
sp|Q15493|RGN_HUMAN	sp|Q15493|RGN_HUMAN	1	1	1	sp|Q15493|RGN_HUMAN Regucalcin OS=Homo sapiens OX=9606 GN=RGN PE=1 SV=1	1	1	1	1	4	4	4	33.252	299	299	0.081143	0.88483	153080	282090	14178	21140	1059.5	2250.3	1300	1050.7	1456.9	1593.7	0	153080	282090	14178	21140	1059.5	2250.3	1300	1050.7	1456.9	1593.7	0	3	3	3	3	2	2	3	2	3	2	0	26868000	3				2538	4892	True	4968	12077;12078;12079	12135;12136;12137	12135				
